Country,Score,Region,Continent,GDP per capita,Freedom to make life choices,Healthy life expectancy,2019 Score,Tax Burden,Business Freedom,Financial Freedom,Unemployment (%),HDI,IHDI,Loss%,latitude,longitude
Japan,5.886,Asia-Pacific,Asia & Oceania,1.327,0.445,1.088,72.1,68.2,80.5,60.0,2.8,0.919,0.843,8.3,36.204824,138.252924
Honduras,5.86,Americas,North America,0.642,0.507,0.828,60.2,82.8,56.9,60.0,4.5,0.634,0.472,25.6,15.199999,-86.241905
Kazakhstan,5.809,Asia-Pacific,Asia & Oceania,1.173,0.41,0.729,65.4,93.4,73.9,50.0,4.9,0.825,0.766,7.2,48.019573,66.923684
Bolivia,5.779,Americas,South America,0.776,0.511,0.706,42.3,82.4,58.8,40.0,3.1,0.718,0.546,24.0,-16.290154,-63.588653
Hungary,5.758,Europe,Europe,1.201,0.199,0.828,65.0,78.6,61.1,70.0,4.2,0.854,0.791,7.4,47.162494,19.503304
Paraguay,5.743,Americas,South America,0.855,0.514,0.777,61.8,96.3,61.5,60.0,4.6,0.728,0.557,23.5,-23.442503,-58.443832
Peru,5.697,Americas,South America,0.96,0.455,0.854,67.8,80.6,67.8,60.0,3.6,0.777,0.628,19.2,-9.189967,-75.015152
Portugal,5.693,Europe,Europe,1.221,0.508,0.999,65.3,59.9,79.7,60.0,8.9,0.85,0.761,12.7,39.399872,-8.224454
Pakistan,5.653,Asia-Pacific,Asia & Oceania,0.677,0.313,0.535,55.0,80.5,56.1,40.0,4.0,0.55,0.384,31.1,30.375321,69.345116
Russia,5.648,Europe,Europe,1.183,0.334,0.726,58.9,89.4,78.4,30.0,5.2,0.824,0.74,10.2,61.52401,105.318756
Philippines,5.631,Asia-Pacific,Asia & Oceania,0.807,0.558,0.657,63.8,76.9,61.3,60.0,2.4,0.718,0.587,18.2,12.879721,121.774017
Serbia,5.603,Europe,Europe,1.004,0.282,0.854,63.9,82.0,72.9,50.0,14.1,0.806,0.705,12.5,44.016521,21.005859
Moldova,5.529,Europe,Europe,0.685,0.245,0.739,59.1,85.4,67.0,50.0,4.5,0.75,0.672,10.4,47.411631,28.369885
Montenegro,5.523,Europe,Europe,1.051,0.197,0.871,60.5,85.3,73.3,50.0,16.1,0.829,0.749,9.7,42.708678,19.37439
Tajikistan,5.467,Asia-Pacific,Asia & Oceania,0.493,0.389,0.718,55.6,91.8,67.3,30.0,10.3,0.668,0.584,12.6,38.861034,71.276093
Croatia,5.432,Europe,Europe,1.155,0.296,0.914,61.4,66.4,60.7,60.0,11.2,0.851,0.783,8.0,45.1,15.2
Hong Kong,5.43,Asia-Pacific,Asia & Oceania,1.438,0.44,1.122,90.2,93.1,96.4,90.0,3.1,0.949,0.824,13.2,22.396428,114.109497
Dominican Republic,5.425,Americas,North America,1.015,0.497,0.779,61.0,84.6,51.9,40.0,5.5,0.756,0.595,21.3,18.735693,-70.162651
Bosnia and Herzegovina,5.386,Europe,Europe,0.945,0.212,0.845,61.9,84.3,49.7,60.0,25.6,0.78,0.667,14.5,43.915886,17.679076
Turkey,5.373,Europe,Asia & Oceania,1.183,0.195,0.808,64.6,76.4,66.0,60.0,11.3,0.82,0.683,16.7,38.963745,35.243322
Belarus,5.323,Europe,Europe,1.067,0.235,0.789,57.9,89.4,75.0,10.0,0.5,0.823,0.771,6.3,53.709807,27.953389
Greece,5.287,Europe,Europe,1.181,0.067,0.999,57.7,59.1,74.1,50.0,21.5,0.888,0.791,10.9,39.074208,21.824312
Mongolia,5.285,Asia-Pacific,Asia & Oceania,0.948,0.317,0.667,55.4,88.5,66.0,60.0,7.0,0.737,0.634,14.0,46.862496,103.846656
Nigeria,5.265,Sub-Saharan Africa,Africa,0.696,0.426,0.245,57.3,85.0,51.2,40.0,7.0,0.539,0.348,35.4,9.081999,8.675277
Kyrgyzstan,5.261,Asia-Pacific,Asia & Oceania,0.551,0.508,0.723,62.3,94.1,73.4,50.0,7.3,0.697,0.63,9.6,41.20438,74.766098
Turkmenistan,5.247,Asia-Pacific,Asia & Oceania,1.052,0.394,0.657,48.4,95.9,30.0,10.0,3.4,0.715,0.586,18.0,38.969719,59.556278
Algeria,5.211,Middle East and North Africa,Africa,1.002,0.086,0.785,46.2,76.4,61.6,30.0,10.0,0.748,0.596,20.3,28.033886,1.659626
Azerbaijan,5.208,Asia-Pacific,Asia & Oceania,1.043,0.351,0.769,65.4,87.5,69.5,60.0,5.0,0.756,0.684,9.5,40.143105,47.576927
Indonesia,5.192,Asia-Pacific,Asia & Oceania,0.931,0.491,0.66,65.8,83.7,69.3,60.0,4.2,0.718,0.59,17.8,-0.789275,113.921327
China,5.191,Asia-Pacific,Asia & Oceania,1.029,0.521,0.893,58.4,70.4,56.2,20.0,4.7,0.761,0.639,16.0,35.86166,104.195397
Vietnam,5.175,Asia-Pacific,Asia & Oceania,0.741,0.543,0.851,55.3,79.7,63.5,40.0,2.1,0.704,0.588,16.5,14.058324,108.277199
Bhutan,5.082,Asia-Pacific,Asia & Oceania,0.813,0.457,0.604,62.9,83.0,68.7,30.0,2.4,0.654,0.476,27.2,27.514162,90.433601
Cameroon,5.044,Sub-Saharan Africa,Africa,0.549,0.381,0.331,52.4,74.4,44.4,50.0,4.2,0.563,0.375,34.1,7.369722,12.354722
Bulgaria,5.011,Europe,Europe,1.092,0.311,0.815,69.0,90.2,62.7,60.0,6.2,0.816,0.721,11.6,42.733883,25.48583
Ghana,4.996,Sub-Saharan Africa,Africa,0.611,0.381,0.486,57.5,78.8,56.5,60.0,2.4,0.611,0.44,28.0,7.946527,-1.023194
Ivory Coast,4.944,Sub-Saharan Africa,Africa,0.569,0.352,0.232,62.4,77.5,61.0,50.0,2.6,0.538,0.346,35.7,7.539989,-5.54708
Nepal,4.913,Asia-Pacific,Asia & Oceania,0.446,0.439,0.677,53.8,84.0,61.8,30.0,2.7,0.602,0.446,25.9,28.394857,84.124008
Jordan,4.906,Middle East and North Africa,Asia & Oceania,0.837,0.383,0.815,66.5,91.4,61.8,60.0,14.9,0.729,0.622,14.7,30.585164,36.238414
Benin,4.883,Sub-Saharan Africa,Africa,0.393,0.349,0.397,55.3,69.3,62.4,50.0,2.5,0.52,0.343,37.1,9.30769,2.315834
